Date,Open,High,Low,Close,AdjClose,Volume,Symbol,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5
2023-01-06,0.055762081784386575,0.04797047970479695,0.05426356589147274,0.04999999999999993,0.03855050115651493,0.01264137897885462,5080.KL,0.21538461538461529,0.22307692307692306,0.06153846153846143,0.0576923076923076,0.24615384615384617
2023-01-09,0.06319702602230481,0.06642066420664205,0.07751937984496116,0.06538461538461526,0.053970701619120987,0.055911942941865925,5080.KL,0.04999999999999993,0.21538461538461529,0.22307692307692306,0.06153846153846143,0.0576923076923076
2023-01-09,0.24907063197026003,0.2693726937269372,0.26356589147286824,0.2615384615384614,0.2235929067077872,0.05675864542392434,7230.KL,0.06538461538461526,0.04999999999999993,0.21538461538461529,0.22307692307692306,0.06153846153846143
2023-01-10,0.25650557620817827,0.24723247232472312,0.24806201550387608,0.2615384615384614,0.2235929067077872,0.013565726666691315,7230.KL,0.2615384615384614,0.06538461538461526,0.04999999999999993,0.21538461538461529,0.22307692307692306
2023-01-10,0.06319702602230481,0.05535055350553497,0.06976744186046502,0.06153846153846143,0.05011565150346953,0.018594178088522928,5080.KL,0.2615384615384614,0.2615384615384614,0.06538461538461526,0.04999999999999993,0.21538461538461529
2023-01-11,0.06319702602230481,0.06642066420664205,0.06589147286821695,0.07307692307692304,0.060909791827293724,0.04484195503233368,5080.KL,0.06153846153846143,0.2615384615384614,0.2615384615384614,0.06538461538461526,0.04999999999999993
2023-01-11,0.2639405204460965,0.26199261992619916,0.2558139534883721,0.2769230769230767,0.23824209714726285,0.03264796033439202,7230.KL,0.07307692307692304,0.06153846153846143,0.2615384615384614,0.2615384615384614,0.06538461538461526
2023-01-12,0.2639405204460965,0.26199261992619916,0.27131782945736427,0.2615384615384614,0.2235929067077872,0.01546248812213221,7230.KL,0.2769230769230767,0.07307692307692304,0.06153846153846143,0.2615384615384614,0.2615384615384614
2023-01-12,0.07063197026022305,0.06273062730627299,0.07364341085271309,0.0692307692307691,0.057054741711642265,0.020465057808704397,5080.KL,0.2615384615384614,0.2769230769230767,0.07307692307692304,0.06153846153846143,0.2615384615384614
2023-01-13,0.07806691449814118,0.08118081180811809,0.08139534883720922,0.07307692307692304,0.060909791827293724,0.07640657987658109,5080.KL,0.0692307692307691,0.2615384615384614,0.2769230769230767,0.07307692307692304,0.06153846153846143
